epoch,accuracy,loss,val_accuracy,val_loss
0,0.7946520447731018,0.4685325622558594,0.690625011920929,0.8753190040588379
1,0.9539481401443481,0.11607266962528229,0.6656249761581421,1.4173007011413574
2,0.9842303991317749,0.046353526413440704,0.6818749904632568,1.3240243196487427
3,0.9813735485076904,0.05055706948041916,0.8137500286102295,0.618750810623169
4,0.9875442981719971,0.0356178916990757,0.8550000190734863,0.5173417925834656
5,0.9885727167129517,0.030668286606669426,0.8575000166893005,0.5110223293304443
6,0.9883441925048828,0.03294358775019646,0.8700000047683716,0.7529246807098389
7,0.993143618106842,0.0198423583060503,0.8531249761581421,0.5052398443222046
8,0.9930293560028076,0.020483240485191345,0.8518750071525574,0.6434644460678101
9,0.9971432089805603,0.009265107102692127,0.8881250023841858,0.5125892758369446
10,0.9921151995658875,0.025832343846559525,0.8831250071525574,0.3692699074745178
11,0.9948577284812927,0.015220151282846928,0.8237500190734863,0.9417353272438049
12,0.9966861009597778,0.010343466885387897,0.8737499713897705,0.5381349325180054
13,0.9944006204605103,0.01763441227376461,0.8931249976158142,0.518906831741333
14,0.9969146251678467,0.011307843960821629,0.8843749761581421,0.5425523519515991
15,0.9921151995658875,0.02570980228483677,0.8556249737739563,0.9316229224205017
16,0.995543360710144,0.012737548910081387,0.8668749928474426,0.6837488412857056
17,0.9947434663772583,0.016844376921653748,0.8831250071525574,0.7243179082870483
18,0.9963432550430298,0.016586771234869957,0.8149999976158142,1.0727910995483398
19,0.9922294616699219,0.02497393824160099,0.8793749809265137,0.5206799507141113
