epoch,accuracy,loss,val_accuracy,val_loss
0,0.5200374126434326,0.824384331703186,0.507440447807312,0.8619340062141418
1,0.6764385104179382,0.6261239647865295,0.5840773582458496,0.7928503155708313
2,0.7316388487815857,0.5530049204826355,0.6666666865348816,0.6370751261711121
3,0.7587712407112122,0.5057910084724426,0.7008928656578064,0.5869467854499817
4,0.7922968864440918,0.4477357566356659,0.7135416865348816,0.5813037157058716
5,0.8170902729034424,0.4023626744747162,0.730654776096344,0.623996376991272
6,0.8570091724395752,0.32385367155075073,0.7507440447807312,0.6540487408638
7,0.8872602581977844,0.2668831944465637,0.7663690447807312,0.7426291108131409
8,0.9181350469589233,0.19821220636367798,0.7016369104385376,1.0485848188400269
9,0.9373148083686829,0.15531475841999054,0.7470238208770752,0.9334609508514404
10,0.9685015082359314,0.0847814604640007,0.7872023582458496,0.9564621448516846
11,0.9653828144073486,0.08778484165668488,0.7663690447807312,0.7215499877929688
12,0.9831591844558716,0.05050666257739067,0.7596726417541504,0.861552357673645
13,0.9832921028137207,0.04281715303659439,0.7514880895614624,1.2539976835250854
