epoch,accuracy,loss,val_accuracy,val_loss
0,0.7501949071884155,0.5193408727645874,0.4955357015132904,1.3274178504943848
1,0.9494776129722595,0.12650839984416962,0.6495535969734192,0.9179531335830688
2,0.9858101010322571,0.037845272570848465,0.6183035969734192,0.8793008923530579
3,0.9879931211471558,0.03449449688196182,0.621279776096344,1.2081108093261719
4,0.9861219525337219,0.03268895298242569,0.6391369104385376,0.9917181730270386
5,0.9884609580039978,0.03401362895965576,0.6815476417541504,0.9848863482475281
6,0.9946982860565186,0.018916504457592964,0.7767857313156128,0.7681967616081238
7,0.9931389093399048,0.019317183643579483,0.804315447807312,0.6385352611541748
8,0.9996881484985352,0.00217014760710299,0.7589285969734192,1.1864526271820068
9,0.9971932172775269,0.0070946007035672665,0.78125,1.0796312093734741
10,0.9971932172775269,0.005550862289965153,0.793154776096344,1.0114771127700806
11,0.9934508204460144,0.01999242790043354,0.7834821343421936,1.0297307968139648
12,0.9961016774177551,0.009399515576660633,0.8154761791229248,1.0210344791412354
13,0.9961016774177551,0.01298291515558958,0.8303571343421936,0.6940635442733765
14,0.9950101375579834,0.014324815012514591,0.6532738208770752,2.884679079055786
15,0.9975050687789917,0.006954253651201725,0.808779776096344,1.0455695390701294
16,0.9975050687789917,0.00635337270796299,0.8095238208770752,1.1952345371246338
