epoch,accuracy,loss,val_accuracy,val_loss
0,0.81910640001297,0.3839337229728699,0.7862499952316284,0.4502165913581848
1,0.9691463708877563,0.08431315422058105,0.6656249761581421,0.8411971926689148
2,0.984801709651947,0.041701119393110275,0.6993749737739563,0.9325193762779236
3,0.9926865696907043,0.02267685905098915,0.7193750143051147,1.0349994897842407
4,0.9891440868377686,0.030786244198679924,0.824999988079071,0.7494561672210693
5,0.9933722019195557,0.018473053351044655,0.8481249809265137,0.5746601223945618
6,0.9958862066268921,0.011922386474907398,0.8581249713897705,0.7324466705322266
7,0.9980573654174805,0.008912638761103153,0.8368750214576721,0.9631857872009277
8,0.9956576228141785,0.011607947759330273,0.840624988079071,0.6078057289123535
9,0.9969146251678467,0.006828695069998503,0.8318750262260437,0.8281368017196655
